hsa-let-7a-1
hsa-mir-182
hsa-mir-183
hsa-mir-184
hsa-mir-185
hsa-mir-186
hsa-mir-187
hsa-mir-188
hsa-mir-18a
hsa-mir-18b
hsa-mir-190
hsa-mir-190b
hsa-mir-191
hsa-mir-1910
hsa-mir-192
hsa-mir-193a
hsa-mir-193b
hsa-mir-194-1
hsa-mir-194-2
hsa-mir-195
hsa-mir-196a-1
hsa-mir-196a-2
hsa-mir-196b
hsa-mir-197
hsa-mir-1976
hsa-mir-199a-1
hsa-mir-199a-2
hsa-mir-199b
hsa-mir-19a
hsa-mir-19b-1
hsa-mir-19b-2
hsa-mir-200a
hsa-mir-200b
hsa-mir-200c
hsa-mir-202
hsa-mir-203
hsa-mir-204
hsa-mir-205
hsa-mir-206
hsa-mir-20a
hsa-mir-20b
hsa-mir-21
hsa-mir-210
hsa-mir-2110
hsa-mir-2114
hsa-mir-2115
hsa-mir-2116
hsa-mir-212
hsa-mir-214
hsa-mir-215
hsa-mir-216a
hsa-mir-217
hsa-mir-218-1
hsa-mir-218-2
hsa-mir-219-1
hsa-mir-219-2
hsa-mir-22
hsa-mir-221
hsa-mir-222
hsa-mir-223
hsa-mir-224
hsa-mir-2276
hsa-mir-2277
hsa-mir-2355
hsa-mir-23a
hsa-mir-23b
hsa-mir-23c
hsa-mir-24-1
hsa-mir-24-2
hsa-mir-25
hsa-mir-26a-1
hsa-mir-26a-2
hsa-mir-26b
hsa-mir-27a
hsa-mir-27b
hsa-mir-28
hsa-mir-296
hsa-mir-299
hsa-mir-29a
hsa-mir-29b-1
hsa-mir-29b-2
hsa-mir-29c
hsa-mir-301a
hsa-mir-301b
hsa-mir-3065
hsa-mir-3074
hsa-mir-30a
hsa-mir-30b
hsa-mir-30c-1
hsa-mir-30c-2
hsa-mir-30d
hsa-mir-30e
hsa-mir-31
hsa-mir-3117
hsa-mir-3127
hsa-mir-3129
hsa-mir-3130-1
hsa-mir-3136
hsa-mir-3150
hsa-mir-3150b
hsa-mir-3157
hsa-mir-3158-2
hsa-mir-3170
hsa-mir-3173
hsa-mir-3174
hsa-mir-3176
hsa-mir-3178
hsa-mir-3187
hsa-mir-3188
hsa-mir-3190
hsa-mir-3191
hsa-mir-3193
hsa-mir-3194
hsa-mir-3199-1
hsa-mir-3199-2
hsa-mir-32
hsa-mir-3200
hsa-mir-320a
hsa-mir-320b-2
hsa-mir-320c-1
hsa-mir-320c-2
hsa-mir-320d-1
hsa-mir-320d-2
hsa-mir-320e
hsa-mir-323
hsa-mir-323b
hsa-mir-324
hsa-mir-326
hsa-mir-328
hsa-mir-329-1
hsa-mir-329-2
hsa-mir-330
hsa-mir-331
hsa-mir-335
hsa-mir-337
hsa-mir-338
hsa-mir-339
hsa-mir-33a
hsa-mir-33b
hsa-mir-340
hsa-mir-342
hsa-mir-345
hsa-mir-346
hsa-mir-34a
hsa-mir-34b
hsa-mir-34c
hsa-mir-3605
hsa-mir-3607
hsa-mir-3609
hsa-mir-361
hsa-mir-3610
hsa-mir-3613
hsa-mir-3614
hsa-mir-3615
hsa-mir-3619
hsa-mir-362
hsa-mir-3620
hsa-mir-3622a
hsa-mir-363
hsa-mir-3647
hsa-mir-3648
hsa-mir-365-1
hsa-mir-365-2
hsa-mir-3651
hsa-mir-3652
hsa-mir-3653
hsa-mir-3654
hsa-mir-3655
hsa-mir-3662
hsa-mir-3664
hsa-mir-3667
hsa-mir-3676
hsa-mir-3677
hsa-mir-3678
hsa-mir-3680
hsa-mir-3682
hsa-mir-3684
hsa-mir-3687
hsa-mir-369
hsa-mir-3690
hsa-mir-3691
hsa-mir-370
hsa-mir-372
hsa-mir-374a
hsa-mir-374b
hsa-mir-374c
hsa-mir-375
hsa-mir-376a-1
hsa-mir-376a-2
hsa-mir-376b
hsa-mir-376c
hsa-mir-377
hsa-mir-378
hsa-mir-378c
hsa-mir-379
hsa-mir-380
hsa-mir-381
hsa-mir-382
hsa-mir-383
hsa-mir-3909
hsa-mir-3912
hsa-mir-3913-1
hsa-mir-3917
hsa-mir-3922
hsa-mir-3926-1
hsa-mir-3926-2
hsa-mir-3928
hsa-mir-3934
hsa-mir-3940
hsa-mir-3941
hsa-mir-3942
hsa-mir-3944
hsa-mir-409
hsa-mir-410
hsa-mir-411
hsa-mir-412
hsa-mir-421
hsa-mir-423
hsa-mir-424
hsa-mir-425
hsa-mir-4286
hsa-mir-429
hsa-mir-431
hsa-mir-432
hsa-mir-4326
hsa-mir-433
hsa-mir-449a
hsa-mir-449b
hsa-mir-450a-1
hsa-mir-450a-2
hsa-mir-450b
hsa-mir-451
hsa-mir-452
hsa-mir-454
hsa-mir-455
hsa-mir-483
hsa-mir-484
hsa-mir-485
hsa-mir-486
hsa-mir-487a
hsa-mir-487b
hsa-mir-488
hsa-mir-489
hsa-mir-491
hsa-mir-493
hsa-mir-494
hsa-mir-495
hsa-mir-496
hsa-mir-497
hsa-mir-499
hsa-mir-500a
hsa-mir-500b
hsa-mir-501
hsa-mir-502
hsa-mir-503
hsa-mir-504
hsa-mir-505
hsa-mir-508
hsa-mir-509-1
hsa-mir-509-2
hsa-mir-509-3
hsa-mir-511-1
hsa-mir-511-2
hsa-mir-512-1
hsa-mir-512-2
hsa-mir-514-1
hsa-mir-514-2
hsa-mir-514-3
hsa-mir-516a-1
hsa-mir-516a-2
hsa-mir-517a
hsa-mir-517b
hsa-mir-518b
hsa-mir-518c
hsa-mir-518f
hsa-mir-519a-1
hsa-mir-519a-2
hsa-mir-520a
hsa-mir-520b
hsa-mir-522
hsa-mir-525
hsa-mir-526b
hsa-mir-532
hsa-mir-539
hsa-mir-541
hsa-mir-542
hsa-mir-543
hsa-mir-545
hsa-mir-548b
hsa-mir-548e
hsa-mir-548j
hsa-mir-548k
hsa-mir-548o
hsa-mir-548q
hsa-mir-548s
hsa-mir-548t
hsa-mir-548v
hsa-mir-550a-1
hsa-mir-550a-2
hsa-mir-551a
hsa-mir-551b
hsa-mir-552
hsa-mir-556
hsa-mir-561
hsa-mir-570
hsa-mir-574
hsa-mir-576
hsa-mir-577
hsa-mir-579
hsa-mir-580
hsa-mir-581
hsa-mir-582
hsa-mir-584
hsa-mir-585
hsa-mir-589
hsa-mir-590
hsa-mir-592
hsa-mir-598
hsa-mir-605
hsa-mir-607
hsa-mir-615
hsa-mir-616
hsa-mir-618
hsa-mir-624
hsa-mir-625
hsa-mir-627
hsa-mir-628
hsa-mir-629
hsa-mir-632
hsa-mir-636
hsa-mir-639
hsa-mir-641
hsa-mir-642a
hsa-mir-643
hsa-mir-651
hsa-mir-652
hsa-mir-653
hsa-mir-654
hsa-mir-655
hsa-mir-656
hsa-mir-658
hsa-mir-659
hsa-mir-660
hsa-mir-663
hsa-mir-664
hsa-mir-665
hsa-mir-671
hsa-mir-675
hsa-mir-676
hsa-mir-7-1
hsa-mir-7-2
hsa-mir-7-3
hsa-mir-708
hsa-mir-744
hsa-mir-758
hsa-mir-760
hsa-mir-765
hsa-mir-766
hsa-mir-767
hsa-mir-769
hsa-mir-874
hsa-mir-877
hsa-mir-885
hsa-mir-887
hsa-mir-889
hsa-mir-891a
hsa-mir-9-1
hsa-mir-9-2
hsa-mir-9-3
hsa-mir-92a-1
hsa-mir-92a-2
hsa-mir-92b
hsa-mir-93
hsa-mir-934
hsa-mir-935
hsa-mir-937
hsa-mir-939
hsa-mir-940
hsa-mir-942
hsa-mir-944
hsa-mir-95
hsa-mir-96
hsa-mir-98
hsa-mir-99a
hsa-mir-99b
